Task	Task type	Needs review	Points	Full points deadline	Expires at	Link override	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html
PCB(s) soldered properly	electronics		800	2026-11-30 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_pcbs_soldered_properly
PCB(s) working with firmware	firmware	1	1000	2026-12-14 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_pcbs_working_with_firmware
Throwing angle adjustable through mainboard	electronics,firmware	1	800	2026-12-14 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_throwing_angle_adjustable_through_mainboard
Ball holder controllable through mainboard	electronics,firmware	1	800	2026-12-14 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_ball_holder_controllable_through_mainboard
Electronics attached to the robot and working	electronics		600	2026-12-14 21:00	2027-01-11 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_electronics_attached_to_the_robot_and_working
Mainboard documented	electronics,documentation	1	300	2027-01-10 21:00	2027-01-13 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_mainboard_documented
Motor driver documented	electronics,documentation	1	300	2027-01-10 21:00	2027-01-13 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_motor_driver_documented
Firmware documented	firmware,documentation	1	200	2027-01-10 21:00	2027-01-13 21:00		https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_firmware_documented
Group: competitions
1st test competition	competition		200		2026-11-19 21:00	test_competition	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition
1st test competition with new mechanics	competition		200		2026-11-19 21:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_mechanics
1st test competition with new electronics	competition		200		2026-11-19 21:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_electronics
1st test competition winner	competition		800		2026-11-19 21:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_winner
1st test competition 2nd place	competition		400		2026-11-19 21:00	test_competition_2nd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_2nd_place
1st test competition 3rd place	competition		200		2026-11-19 21:00	test_competition_3rd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_3rd_place
2nd test competition	competition		200		2026-12-03 21:00	test_competition	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition
2nd test competition with new mechanics	competition		200		2026-12-03 21:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_mechanics
2nd test competition with new electronics	competition		200		2026-12-03 21:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_electronics
2nd test competition winner	competition		800		2026-12-03 21:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_winner
2nd test competition 2nd place	competition		400		2026-12-03 21:00	test_competition_2nd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_2nd_place
2nd test competition 3rd place	competition		200		2026-12-03 21:00	test_competition_3rd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_3rd_place
3rd test competition	competition		200		2026-12-17 21:00	test_competition	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition
3rd test competition with new mechanics	competition		200		2026-12-17 21:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_mechanics
3rd test competition with new electronics	competition		200		2026-12-17 21:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_electronics
3rd test competition winner	competition		800		2026-12-17 21:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_winner
3rd test competition 2nd place	competition		400		2026-12-17 21:00	test_competition_2nd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_2nd_place
3rd test competition 3rd place	competition		200		2026-12-17 21:00	test_competition_3rd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_3rd_place
4th test competition	competition		200		2027-01-07 21:00	test_competition	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition
4th test competition with new mechanics	competition		200		2027-01-07 21:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_mechanics
4th test competition with new electronics	competition		200		2027-01-07 21:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_electronics
4th test competition winner	competition		800		2027-01-07 21:00	test_competition_winner	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_winner
4th test competition 2nd place	competition		400		2027-01-07 21:00	test_competition_2nd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_2nd_place
4th test competition 3rd place	competition		200		2027-01-07 21:00	test_competition_3rd_place	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_3rd_place
5th test competition	competition		200		2027-01-14 21:00	test_competition	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition
5th test competition with new mechanics	competition		200		2027-01-14 21:00	test_competition_with_new_mechanics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_mechanics
5th test competition with new electronics	competition		200		2027-01-14 21:00	test_competition_with_new_electronics	https://ut-robotics.github.io/picr-docs/2026/grading-and-tasks.html#_test_competition_with_new_electronics
